Company Name	Symbol
SBI Caselecteds and Payment Services Limited	SBICAselected.NS
FSN E-Commerce Ventures Limited	NYKAA.NS
SRF Limited	SRF.NS
Bharat Petroleum Corporation Limited	BPCL.NS
InterGlobe Aviation Limited	INDIGO.NS
Britannia Industries Limited	BRITANNIA.NS
Godrej Consumer Products Limited	GODREJCP.NS
Tata Power Company Limited	TATAPOWER.NS
IndusInd Bank Limited	INDUSINDBK.NS
Havells India Limited	HAVELLS.NS
ICICI Prudential Life Insurance Company Limited	ICICIPRULI.NS
TATA CONSUMER PRODUCTS LIMITED	TATACONSUM.NS
Dr. Reddy's Laboratories Limited	DRREDDY.NS
Adani Power Limited	ADANIPOWER.NS
MindTree Limited	MINDTREE.NS
GAIL (India) Limited	GAIL.NS
Berger Paints (I) Limited	BERGEPAINT.NS
Eicher Motors Limited	EICHERMOT.NS
Adani Wilmar Limited	AWL.NS
ICICI Lombaselected General Insurance Company Limited	ICICIGI.NS
Marico Limited	MARICO.NS
Apollo Hospitals Enterprise Limited	APOLLOHOSP.NS
Zomato Limited	ZOMATO.NS
United Spirits Limited	MCDOWELL-N.NS
MphasiS Limited	MPHASIS.NS
Indian Railway Catering And Tourism Corporation Limited	IRCTC.NS
Indus Towers Limited	INDUSTOWER.NS
Ambuja Cements Limited	AMBUJACEM.NS
Cholamandalam Investment and Finance Company Limited	CHOLAFIN.NS
UPL Limited	UPL.NS
Info Edge (India) Limited	NAUKRI.NS
Bank of Baroda	BANKBARODA.NS
Bajaj Holdings & Investment Limited	BAJAJHLDNG.NS
Tata Elxsi Limited	TATAELXSI.NS
Jindal Steel & Power Limited	JINDALSTEL.NS
Macrotech Developers Limited	LODHA.NS
L&T Technology Services Limited	LTTS.NS
Gland Pharma Limited	GLAND.NS
Muthoot Finance Limited	MUTHOOTFIN.NS
Piramal Enterprises Limited	PEL.NS
Bharat Electronics Limited	BEL.NS
JSW Energy Limited	JSWENERGY.NS
Hindustan Aeronautics Limited	HAL.NS
Bandhan Bank Limited	BANDHANBNK.NS
Page Industries Limited	PAGEIND.NS
NMDC Limited	NMDC.NS
Torrent Pharmaceuticals Limited	TORNTPHARM.NS
Procter & Gamble Hygiene and Health Care Limited	PGHH.NS
Godrej Properties Limited	GODREJPROP.NS
IDBI Bank Limited	IDBI.NS
Hero MotoCorp Limited	HEROMOTOCO.NS
HDFC Asset Management Company Limited	HDFCAMC.NS
ABB India Limited	ABB.NS
Trent Limited	TRENT.NS
Motherson Sumi Systems Limited	MOTHERSUMI.NS
Alkem Laboratories Limited	ALKEM.NS
PI Industries Limited	PIIND.NS
Bosch Limited	BOSCHLTD.NS
Colgate Palmolive (India) Limited	COLPAL.NS
Canara Bank	CANBK.NS
Balkrishna Industries Limited	BALKRISIND.NS
Voltas Limited	VOLTAS.NS
Container Corporation of India Limited	CONCOR.NS
Star Health and Allied Insurance Company Limited	STARHEALTH.NS
Varun Beverages Limited	VBL.NS
Steel Authority of India Limited	SAIL.NS
Astral Limited	ASTRAL.NS
ACC Limited	ACC.NS
Biocon Limited	BIOCON.NS
Sona BLW Precision Forgings Limited	SONACOMS.NS
United Breweries Limited	UBL.NS
AU Small Finance Bank Limited	AUBANK.NS
Aurobindo Pharma Limited	AUROPHARMA.NS
Punjab National Bank	PNB.NS
Hindustan Petroleum Corporation Limited	HINDPETRO.NS
Persistent Systems Limited	PERSISTENT.NS
Zydus Lifesciences Limited	ZYDUSLIFE.NS
Polycab India Limited	POLYCAB.NS
Honeywell Automation India Limited	HONAUT.NS
Tata Communications Limited	TATACOMM.NS
Jubilant Foodworks Limited	JUBLFOOD.NS
Aarti Industries Limited	AARTIIND.NS
Gujarat Gas Limited	GUJGASLTD.NS
Ashok Leyland Limited	ASHOKLEY.NS
Indian Overseas Bank	IOB.NS
One 97 Communications Limited	PAYTM.NS
Oberoi Realty Limited	OBEROIRLTY.NS
Lupin Limited	LUPIN.NS
Max Healthcare Institute Limited	MAXHEALTH.NS
Bharat Forge Limited	BHARATFORG.NS
Tata Teleservices (Maharashtra) Limited	TTML.NS
Linde India Limited	LINDEINDIA.NS
Laurus Labs Limited	LAURUSLABS.NS
The Indian Hotels Company Limited	INDHOTEL.NS
Tube Investments of India Limited	TIINDIA.NS
PB Fintech Limited	POLICYBZR.NS
Cummins India Limited	CUMMINSIND.NS
Oracle Financial Services Software Limited	OFSS.NS
Yes Bank Limited	YESBANK.NS
Shriram Transport Finance Company Limited	SRTRANSFIN.NS
Deepak Nitrite Limited	DEEPAKNTR.NS
Atul Limited	ATUL.NS
Schaeffler India Limited	SCHAEFFLER.NS
Gujarat Fluorochemicals Limited	FLUOROCHEM.NS
Power Finance Corporation Limited	PFC.NS
TVS Motor Company Limited	TVSMOTOR.NS
Petronet LNG Limited	PETRONET.NS
Aditya Birla Fashion and Retail Limited	ABFRL.NS
Ruchi Soya Industries Limited	RUCHI.NS
GlaxoSmithKline Pharmaceuticals Limited	GLAXO.NS
Indian Railway Finance Corporation Limited	IRFC.NS
Dalmia Bharat Limited	DALBHARAT.NS
NHPC Limited	NHPC+B1993.NS
Vodafone Idea Limited	IDEA.NS
Zee Entertainment Enterprises Limited	ZEEL.NS
MRF Limited	MRF.NS
Trident Limited	TRIDENT.NS
Coforge Limited	COFORGE.NS
IPCA Laboratories Limited	IPCALAB.NS
Minda Industries Limited	MINDAIND.NS
Relaxo Footwears Limited	RELAXO.NS
Union Bank of India	UNIONBANK.NS
Indraprastha Gas Limited	IGL.NS
Max Financial Services Limited	MFSL.NS
Aditya Birla Capital Limited	ABCAPITAL.NS
Supreme Industries Limited	SUPREMEIND.NS
Oil India Limited	OIL.NS
CG Power and Industrial Solutions Limited	CGPOWER.NS
Dixon Technologies (India) Limited	DIXON.NS
Solar Industries India Limited	SOLARINDS.NS
Bata India Limited	BATAINDIA.NS
Kansai Nerolac Paints Limited	KANSAINER.NS
Tata Chemicals Limited	TATACHEM.NS
IDFC First Bank Limited	IDFCFIRSTB.NS
REC Limited	RECLTD.NS
CRISIL Limited	CRISIL.NS
Syngene International Limited	SYNGENE.NS
Crompton Greaves Consumer Electricals Limited	CROMPTON.NS
Torrent Power Limited	TORNTPOWER.NS
Coromandel International Limited	COROMANDEL.NS
Vedant Fashions Limited	MANYAVAR.NS
Hatsun Agro Product Limited	HATSUN.NS
Thermax Limited	THERMAX.NS
APL Apollo Tubes Limited	APLAPOLLO.NS
Escorts Limited	ESCORTS.NS
Sumitomo Chemical India Limited	SUMICHEM.NS
National Aluminium Company Limited	NATIONALUM.NS
GMR Infrastructure Limited	GMRINFRA.NS
3M India Limited	3MINDIA.NS
Fortis Healthcare Limited	FORTIS.NS
Dr. Lal Path Labs Ltd.	LALPATHLAB.NS
Nippon Life India Asset Management Limited	NAM-INDIA.NS
Sundaram Finance Limited	SUNDARMFIN.NS
K.P.R. Mill Limited	KPRMILL.NS
Clean Science and Technology Limited	CLEAN.NS
Devyani International Limited	DEVYANI.NS
Poonawalla Fincorp Limited	POONAWALLA.NS
Tanla Platforms Limited	TANLA.NS
The Federal Bank  Limited	FEDERALBNK.NS
Rajesh Exports Limited	RAJESHEXPO.NS
Motherson Sumi Wiring India Limited	MSUMI.NS
Aavas Financiers Limited	AAVAS.NS
Navin Fluorine International Limited	NAVINFLUOR.NS
Indian Energy Exchange Limited	IEX.NS
Vinati Organics Limited	VINATIORGA.NS
ICICI Securities Limited	ISEC.NS
General Insurance Corporation of India	GICRE.NS
Whirlpool of India Limited	WHIRLPOOL.NS
L&T Finance Holdings Limited	L&TFH.NS
Grindwell Norton Limited	GRINDWELL.NS
Pfizer Limited	PFIZER.NS
Emami Limited	EMAMILTD.NS
Prestige Estates Projects Limited	PRESTIGE.NS
LIC Housing Finance Limited	LICHSGFIN.NS
Mahindra & Mahindra Financial Services Limited	M&MFIN.NS
The Phoenix Mills Limited	PHOENIXLTD.NS
Sun TV Network Limited	SUNTV.NS
Indian Bank	INDIANB.NS
Sundram Fasteners Limited	SUNDRMFAST.NS
Bank of India	BANKINDIA.NS
JK Cement Limited	JKCEMENT.NS
The New India Assurance Company Limited	NIACL.NS
The Ramco Cements Limited	RAMCOCEM.NS
DCM Shriram Limited	DCMSHRIRAM.NS
Chambal Fertilizers & Chemicals Limited	CHAMBLFERT.NS
SKF India Limited	SKFINDIA.NS
Sanofi India Limited	SANOFI.NS
Bharat Heavy Electricals Limited	BHEL.NS
Brightcom Group Limited	BCG.NS
Sheela Foam Limited	SFL.NS
Aptus Value Housing Finance India Limited	APTUS.NS
Affle (India) Limited	AFFLE.NS
Metro Brands Limited	METROBRAND.NS
KPIT Technologies Limited	KPITTECH.NS
Blue Dart Express Limited	BLUEDART.NS
Kajaria Ceramics Limited	KAJARIACER.NS
Timken India Limited	TIMKEN.NS
Central Bank of India	CENTRALBK.NS
Century Plyboaselecteds (India) Limited	CENTURYPLY.NS
Gillette India Limited	GILLETTE.NS
Suven Pharmaceuticals Limited	SUVENPHAR.NS
Ajanta Pharma Limited	AJANTPHARM.NS
Godrej Industries Limited	GODREJIND.NS
Happiest Minds Technologies Limited	HAPPSTMNDS.NS
Central Depository Services (India) Limited	CDSL.NS
Endurance Technologies Limited	ENDURANCE.NS
Aditya Birla Sun Life AMC Limited	ABSLAMC.NS
AIA Engineering Limited	AIAENG.NS
Narayana Hrudayalaya Ltd.	NH.NS
IRB Infrastructure Developers Limited	IRB.NS
Carborundum Universal Limited	CARBORUNIV.NS
Hitachi Energy India Limited	POWERINDIA.NS
G R Infraprojects Limited	GRINFRA.NS
Iifl Wealth Management Limited	IIFLWAM.NS
Gujarat State Petronet Limited	GSPL.NS
Alkyl Amines Chemicals Limited	ALKYLAMINE.NS
Alembic Pharmaceuticals Limited	APLLTD.NS
ZF Commercial Vehicle Control Systems India Limited	ZFCVINDIA.NS
UCO Bank	UCOBANK.NS
Nuvoco Vistas Corporation Limited	NUVOCO.NS
Natco Pharma Limited	NATCOPHARM.NS
BASF India Limited	BASF.NS
CREDITACCESS GRAMEEN LIMITED	CREDITACC.NS
Indiamart Intermesh Limited	INDIAMART.NS
Gujarat Narmada Valley Fertilizers and Chemicals Limited	GNFC.NS
Exide Industries Limited	EXIDEIND.NS
Motilal Oswal Financial Services Limited	MOTILALOFS.NS
BSE Limited	BSE.NS
Angel One Limited	ANGELONE.NS
Intellect Design Arena Limited	INTELLECT.NS
BIRLASOFT LIMITED	BSOFT.NS
TV18 Broadcast Limited	TV18BselectedCST.NS
KIOCL Limited	KIOCL.NS
UTI Asset Management Company Limited	UTIAMC.NS
Vaselectedhman Textiles Limited	VTL.NS
Alok Industries Limited	ALOKINDS.NS
Glenmark Pharmaceuticals Limited	GLENMARK.NS
Bajaj Electricals Limited	BAJAJELEC.NS
Fine Organic Industries Limited	FINEORG.NS
JB Chemicals & Pharmaceuticals Limited	JBCHEPHARM.NS
Apollo Tyres Limited	APOLLOTYRE.NS
Ratnamani Metals & Tubes Limited	RATNAMANI.NS
Medplus Health Services Limited	MEDPLUS.NS
Brigade Enterprises Limited	BRIGADE.NS
Amber Enterprises India Limited	AMBER.NS
Radico Khaitan Limited	RADICO.NS
PVR Limited	PVR.NS
Cholamandalam Financial Holdings Limited	CHOLAHLDNG.NS
TTK Prestige Limited	TTKPRESTIG.NS
KEI Industries Limited	KEI.NS
Redington (India) Limited	REDINGTON.NS
Computer Age Management Services Limited	CAMS.NS
Bank of Maharashtra	MAHABANK.NS
Krishna Institute of Medical Sciences Limited	KIMS.NS
Hindustan Copper Limited	HINDCOPPER.NS
IIFL Finance Limited	IIFL.NS
HFCL Limited	HFCL.NS
Shriram City Union Finance Limited	SHRIRAMCIT.NS
Capri Global Capital Limited	CGCL.NS
SJVN Limited	SJVN.NS
VIP Industries Limited	VIPIND.NS
Laxmi Organic Industries Limited	LXCHEM.NS
Chemplast Sanmar Limited	CHEMPLASTS.NS
Asahi India Glass Limited	ASAHIINDIA.NS
Metropolis Healthcare Limited	METROPOLIS.NS
Lakshmi Machine Works Limited	LAXMIMACH.NS
Cyient Limited	CYIENT.NS
Jindal Stainless Limited	JSL.NS
Galaxy Surfactants Limited	GALAXYSURF.NS
Blue Star Limited	BLUESTARCO.NS
Bharat Dynamics Limited	BDL.NS
CESC Limited	CESC.NS
Balrampur Chini Mills Limited	BALRAMCHIN.NS
Castrol India Limited	CASTROLIND.NS
Mastek Limited	MASTEK.NS
RHI MAGNESITA INDIA LIMITED	RHIM.NS
Aster DM Healthcare Limited	ASTEselectedM.NS
IDFC Limited	IDFC.NS
Graphite India Limited	GRAPHITE.NS
Quess Corp Limited	QUESS.NS
KEC International Limited	KEC.NS
ROUTE MOBILE LIMITED	ROUTE.NS
EIH Limited	EIHOTEL.NS
Manappuram Finance Limited	MANAPPURAM.NS
Finolex Industries Limited	FINPIPE.NS
Zydus Wellness Limited	ZYDUSWELL.NS
Century Textiles & Industries Limited	CENTURYTEX.NS
City Union Bank Limited	CUB.NS
Sapphire Foods India Limited	SAPPHIRE.NS
Balaji Amines Limited	BALAMINES.NS
Eris Lifesciences Limited	ERIS.NS
V-Guaselected Industries Limited	VGUAselected.NS
Saregama India Limited	SAREGAMA.NS
Shyam Metalics and Energy Limited	SHYAMMETL.NS
Jindal Stainless (Hisar) Limited	JSLHISAR.NS
Amara Raja Batteries Limited	AMARAJABAT.NS
Poly Medicure Limited	POLYMED.NS
Birla Corporation Limited	BIRLACORPN.NS
ITI Limited	ITI.NS
Welspun India Limited	WELSPUNIND.NS
Sterlite Technologies Limited	STLTECH.NS
Network18 Media & Investments Limited	NETWORK18.NS
Elgi Equipments Limited	ELGIEQUIP.NS
Delta Corp Limited	DELTACORP.NS
Allcargo Logistics Limited	ALLCARGO.NS
Firstsource Solutions Limited	FSL.NS
Supreme Petrochem Limited	SUPPETRO.NS
Akzo Nobel India Limited	AKZOINDIA.NS
NLC India Limited	NLCINDIA.NS
Godrej Agrovet Limited	GODREJAGRO.NS
Latent View Analytics Limited	LATENTVIEW.NS
Fertilizers and Chemicals Travancore Limited	FACT.NS
Suzlon Energy Limited	SUZLON.NS
Can Fin Homes Limited	CANFINHOME.NS
NIIT Limited	NIITLTD.NS
Zensar Technologies Limited	ZENSARTECH.NS
Anupam Rasayan India Limited	ANURAS.NS
C.E. Info Systems Limited	MAPMYINDIA.NS
EID Parry India Limited	EIDPARRY.NS
eClerx Services Limited	ECLERX.NS
KNR Constructions Limited	KNRCON.NS
V-Mart Retail Limited	VMART.NS
Sun Pharma Advanced Research Company Limited	SPARC.NS
RBL Bank Limited	RBLBANK.NS
Sonata Software Limited	SONATSOFTW.NS
Mahanagar Gas Limited	MGL.NS
Symphony Limited	SYMPHONY.NS
Indigo Paints Limited	INDIGOPNTS.NS
Polyplex Corporation Limited	POLYPLEX.NS
Granules India Limited	GRANULES.NS
Shree Renuka Sugars Limited	RENUKA.NS
BEML Limited	BEML.NS
BOROSIL RENEWABLES LIMITED	BORORENEW.NS
Triveni Engineering & Industries Limited	TRIVENI.NS
Teamlease Services Limited	TEAMLEASE.NS
Easy Trip Planners Limited	EASEMYTRIP.NS
Indiabulls Housing Finance Limited	IBULHSGFIN.NS
Privi Speciality Chemicals Limited	PRIVISCL.NS
Praj Industries Limited	PRAJIND.NS
Mangalore Refinery and Petrochemicals Limited	MRPL.NS
Sundaram Clayton Limited	SUNCLAYLTD.NS
Aegis Logistics Limited	AEGISCHEM.NS
Greenpanel Industries Limited	GREENPANEL.NS
Jubilant Ingrevia Limited	JUBLINGREA.NS
SIS LIMITED	SIS.NS
Prince Pipes And Fittings Limited	PRINCEPIPE.NS
Tata Investment Corporation Limited	TATAINVEST.NS
Rail Vikas Nigam Limited	RVNL.NS
Orient Electric Limited	ORIENTELEC.NS
Deepak Fertilizers and Petrochemicals Corporation Limited	DEEPAKFERT.NS
Home First Finance Company India Limited	HOMEFIRST.NS
Sobha Limited	SOBHA.NS
GMM Pfaudler Limited	GMMPFAUDLR.NS
PNC Infratech Limited	PNCINFRA.NS
Procter & Gamble Health Limited	PGHL.NS
MMTC Limited	MMTC.NS
Lux Industries Limited	LUXIND.NS
Gujarat Alkalies and Chemicals Limited	GUJALKALI.NS
TCI Express Limited	TCIEXP.NS
Housing & Urban Development Corporation Limited	HUDCO.NS
Triveni Turbine Limited	TRITURBINE.NS
NBCC (India) Limited	NBCC.NS
Rain Industries Limited	RAIN.NS
Mahindra CIE Automotive Limited	MAHINDCIE.NS
The India Cements Limited	INDIACEM.NS
INOX Leisure Limited	INOXLEISUR.NS
Cera Sanitaryware Limited	CERA.NS
Gujarat State Fertilizers & Chemicals Limited	GSFC.NS
JM Financial Limited	JMFINANCIL.NS
Equitas Small Finance Bank Limited	EQUITASBNK.NS
Sunteck Realty Limited	SUNTECK.NS
AstraZeneca Pharma India Limited	ASTRAZEN.NS
RattanIndia Enterprises Limited	RTNINDIA.NS
PNB Housing Finance Limited	PNBHOUSING.NS
RITES Limited	RITES.NS
Punjab & Sind Bank	PSB.NS
Chalet Hotels Limited	CHALET.NS
Jubilant Pharmova Limited	JUBLPHARMA.NS
Vaibhav Global Limited	VAIBHAVGBL.NS
EPL Limited	EPL.NS
Mahindra Lifespace Developers Limited	MAHLIFE.NS
Kalyan Jewellers India Limited	KALYANKJIL.NS
Gujarat Mineral Development Corporation Limited	GMDCLTD.NS
Sterling and Wilson Renewable Energy Limited	SWSOLAR.NS
Bombay Burmah Trading Corporation Limited	BBTC.NS
Gujarat Ambuja Exports Limited	GAEL.NS
Just Dial Limited	JUSTDIAL.NS
Garware Technical Fibres Limited	GARFIBRES.NS
Prism Johnson Limited	PRSMJOHNSN.NS
Finolex Cables Limited	FINCABLES.NS
Raymond Limited	RAYMOND.NS
Jindal Worldwide Limited	JINDWORLD.NS
Glenmark Life Sciences Limited	GLS.NS
Avanti Feeds Limited	AVANTIFEED.NS
JK Lakshmi Cement Limited	JKLAKSHMI.NS
Shaselecteda Cropchem Limited	SHAselectedACROP.NS
Edelweiss Financial Services Limited	EDELWEISS.NS
Olectra Greentech Limited	OLECTRA.NS
Go Fashion (India) Limited	GOCOLORS.NS
Kalpataru Power Transmission Limited	KALPATPOWR.NS
Godawari Power And Ispat limited	GPIL.NS
Jyothy Labs Limited	JYOTHYLAB.NS
Mtar Technologies Limited	MTARTECH.NS
Shipping Corporation Of India Limited	SCI.NS
CCL Products (India) Limited	CCL.NS
Nazara Technologies Limited	NAZARA.NS
HEG Limited	HEG.NS
Varroc Engineering Limited	VARROC.NS
Godfrey Phillips India Limited	GODFRYPHLP.NS
GHCL Limited	GHCL.NS
Infibeam Avenues Limited	INFIBEAM.NS
JBM Auto Limited	JBMA.NS
Shoppers Stop Limited	SHOPERSTOP.NS
JK Paper Limited	JKPAPER.NS
Caplin Point Laboratories Limited	CAPLIPOINT.NS
Tatva Chintan Pharma Chem Limited	TATVA.NS
The Great Eastern Shipping Company Limited	GESHIP.NS
Bharat Rasayan Limited	BHARATRAS.NS
Ingersoll Rand (India) Limited	INGERRAND.NS
Lemon Tree Hotels Limited	LEMONTREE.NS
Rossari Biotech Limited	ROSSARI.NS
Craftsman Automation Limited	CRAFTSMAN.NS
Restaurant Brands Asia Limited	RBA.NS
Hikal Limited	HIKAL.NS
Minda Corporation Limited	MINDACORP.NS
Rashtriya Chemicals and Fertilizers Limited	RCF.NS
Barbeque Nation Hospitality Limited	BARBEQUE.NS
Tejas Networks Limited	TEJASNET.NS
Jindal Poly Films Limited	JINDALPOLY.NS
Responsive Industries Limited	RESPONIND.NS
Mazagon Dock Shipbuilders Limited	MAZDOCK.NS
Johnson Controls - Hitachi Air Conditioning India Limited	JCHAC.NS
KRBL Limited	KRBL.NS
Swan Energy Limited	SWANENERGY.NS
Suprajit Engineering Limited	SUPRAJIT.NS
VST Industries Limited	VSTIND.NS
TCNS Clothing Co. Limited	TCNSBRANDS.NS
Jaiprakash Power Ventures Limited	JPPOWER.NS
Esab India Limited	ESABINDIA.NS
Transport Corporation of India Limited	TCI.NS
Rallis India Limited	RALLIS.NS
Indiabulls Real Estate Limited	IBREALEST.NS
Mahindra Holidays & Resorts India Limited	MHRIL.NS
Ksb Limited	KSB.NS
Reliance Power Limited	RPOWER.NS
JSW Holdings Limited	JSWHL.NS
PDS Limited	PDSL.NS
Vijaya Diagnostic Centre Limited	VIJAYA.NS
Greaves Cotton Limited	GREAVESCOT.NS
Globus Spirits Limited	GLOBUSSPR.NS
UFLEX Limited	UFLEX.NS
Greenlam Industries Limited	GREENLAM.NS
MOIL Limited	MOIL.NS
Welspun Corp Limited	WELCORP.NS
VRL Logistics Limited	VRLLOG.NS
Neogen Chemicals Limited	NEOGEN.NS
FDC Limited	FDC.NS
PCBL LIMITED	PCBL.NS
HeidelbergCement India Limited	HEIDELBERG.NS
Hinduja Global Solutions Limited	HGS.NS
IFB Industries Limited	IFBIND.NS
Maharashtra Scooters Limited	MAHSCOOTER.NS
The Tinplate Company of India Limited	TINPLATE.NS
Religare Enterprises Limited	RELIGARE.NS
NOCIL Limited	NOCIL.NS
Thyrocare Technologies Limited	THYROCARE.NS
Usha Martin Limited	USHAMART.NS
ICRA Limited	ICRA.NS
Saselecteda Energy & Minerals Limited	SAselectedAEN.NS
CMS Info Systems Limited	CMSINFO.NS
Tata Coffee Limited	TATACOFFEE.NS
Meghmani Finechem Limited	MFL.NS
Share India Securities Limited	SHAREINDIA.NS
Aarti Drugs Limited	AARTIDRUGS.NS
Supriya Lifescience Limited	SUPRIYA.NS
Jamna Auto Industries Limited	JAMNAAUTO.NS
Dalmia Bharat Sugar and Industries Limited	DALMIASUG.NS
Nesco Limited	NESCO.NS
Man Infraconstruction Limited	MANINFRA.NS
Cochin Shipyaselected Limited	COCHINSHIP.NS
Maithan Alloys Limited	MAITHANALL.NS
La Opala RG Limited	LAOPALA.NS
Wockhaselectedt Limited	WOCKPHARMA.NS
Borosil Limited	BOROLTD.NS
Isgec Heavy Engineering Limited	ISGEC.NS
CEAT Limited	CEATLTD.NS
Arvind Fashions Limited	ARVINDFASN.NS
Healthcare Global Enterprises Limited	HCG.NS
Dhani Services Limited	DHANI.NS
Ircon International Limited	IRCON.NS
Tarsons Products Limited	TARSONS.NS
Karur Vysya Bank Limited	KARURVYSYA.NS
Maharashtra Seamless Limited	MAHSEAMLES.NS
Star Cement Limited	STARCEMENT.NS
Gujarat Pipavav Port Limited	GPPL.NS
Vakrangee Limited	VAKRANGEE.NS
CSB Bank Limited	CSBBANK.NS
Ami Organics Limited	AMIORG.NS
Data Patterns (India) Limited	DATAPATTNS.NS
Equitas Holdings Limited	EQUITAS.NS
H.G. Infra Engineering Limited	HGINFRA.NS
Mahindra Logistics Limited	MAHLOG.NS
Sudarshan Chemical Industries Limited	SUDARSCHEM.NS
Engineers India Limited	ENGINERSIN.NS
Rategain Travel Technologies Limited	RATEGAIN.NS
NCC Limited	NCC.NS
Dhampur Sugar Mills Limited	DHAMPURSUG.NS
Dilip Buildcon Limited	DBL.NS
Sansera Engineering Limited	SANSERA.NS
Rupa & Company Limited	RUPA.NS
Indoco Remedies Limited	INDOCO.NS
Shilpa Medicare Limited	SHILPAMED.NS
Astec LifeSciences Limited	ASTEC.NS
Rolex Rings Limited	ROLEXRINGS.NS
Seamec Limited	SEAMECLTD.NS
Paisalo Digital Limited	PAISALO.NS
Dhanuka Agritech Limited	DHANUKA.NS
Gateway Distriparks Limited	GATEWAY.NS
Bannari Amman Sugars Limited	BANARISUG.NS
Sequent Scientific Limited	SEQUENT.NS
Hemisphere Properties India Limited	HEMIPROP.NS
Newgen Software Technologies Limited	NEWGEN.NS
India Tourism Development Corporation Limited	ITDC.NS
Tata Steel Long Products Limited	TATASTLLP.NS
Kaveri Seed Company Limited	KSCL.NS
Ahluwalia Contracts (India) Limited	AHLUCONT.NS
Advanced Enzyme Technologies Limited	ADVENZYMES.NS
Cosmo Films Limited	COSMOFILMS.NS
Indo Count Industries Limited	ICIL.NS
India Glycols Limited	INDIAGLYCO.NS
Dollar Industries Limited	DOLLAR.NS
Tega Industries Limited	TEGA.NS
Himadri Speciality Chemical Limited	HSCL.NS
Strides Pharma Science Limited	STAR.NS
Mishra Dhatu Nigam Limited	MIDHANI.NS
India Pesticides Limited	IPL.NS
Hathway Cable & Datacom Limited	HATHWAY.NS
Nilkamal Limited	NILKAMAL.NS
Venky's (India) Limited	VENKEYS.NS
The Jammu & Kashmir Bank Limited	J&KBANK.NS
Dish TV India Limited	DISHTV.NS
Arvind Limited	ARVIND.NS
R Systems International Limited	RSYSTEMS.NS
HIL Limited	HIL.NS
Reliance Infrastructure Limited	RELINFRA.NS
MAS Financial Services Limited	MASFIN.NS
Orient Cement Limited	ORIENTCEM.NS
Hindustan Oil Exploration Company Limited	HINDOILEXP.NS
Dishman Carbogen Amcis Limited	DCAL.NS
Sagar Cements Limited	SAGCEM.NS
JK Tyre & Industries Limited	JKTYRE.NS
Jindal Saw Limited	JINDALSAW.NS
RattanIndia Power Limited	RTNPOWER.NS
Action Construction Equipment Limited	ACE.NS
Filatex India Limited	FILATEX.NS
Schneider Electric Infrastructure Limited	SCHNEIDER.NS
TIPS Industries Limited	TIPSINDLTD.NS
Tasty Bite Eatables Limited	TASTYBITE.NS
Somany Ceramics Limited	SOMANYCERA.NS
Optiemus Infracom Limited	OPTIEMUS.NS
Prime Focus Limited	PFOCUS.NS
Techno Electric & Engineering Company Limited	TECHNOE.NS
Thirumalai Chemicals Limited	TIRUMALCHM.NS
SEL Manufacturing Company Limited	SELMC.NS
Railtel Corporation Of India Limited	RAILTEL.NS
